,BDI,CPI,EFFR,IPI,Unemployment,CRB_Change,Fed_Assets_Change,PCE_Change,SP500_Change,USD_Index_Change,CRB_MA_3,CRB_MA_6,CRB_MA_12,CRB_Lag_1,CRB_Lag_2,CRB_Lag_3,CRB_Lag_6
34,-0.6440722281912773,0.01541102750429057,0.49752159561450693,2.489114570631487,-0.3752001752509494,2.009044959161261,-0.7726414719907825,0.4577241318699542,-0.26874445373580486,0.11432978129209083,1.5685291407604043,1.4988204114278358,2.090222484299251,0.7520772008128874,0.7903670156718312,0.7703520915006542,-0.10365801866970076
35,-0.6440722281912773,0.148543328217465,0.624338231176847,1.9906637536074696,-0.5941940298089862,1.5172199454975035,-0.4960403514165321,0.3494100179988035,-0.26874445373580486,-0.025447801977576633,1.906486244005673,1.8658079701087755,2.022451936912396,2.0675601698635107,0.7396863144139996,0.7771466168641069,0.33763417126518974
68,-0.6440722281912773,2.42350187681813,0.5970651246633745,-2.671890389527175,1.4623439839056644,-1.4526304879624214,1.0551085511068963,1.9051976798273857,-0.26874445373580486,-0.2881666372124191,0.7246744915576091,0.019846292665082067,-1.3951969919616698,0.1554800372939184,2.920059580740628,2.4306426829025978,0.7480692726349785
69,-0.6440722281912773,2.2710812792650463,0.46040300673252477,-1.7717008941729135,1.4151192451318062,-2.8462029455246496,0.0654246314365135,2.251730809052848,-0.26874445373580486,0.032915353454928256,-1.8092667494679144,-0.2283843265421252,-1.7267873407077365,-1.412548222281064,0.15000217809418223,2.8605673375111142,-1.7854848607812368
70,-0.6440722281912773,2.129376918289149,0.4698401961005882,-0.4207853285603799,1.3673839587496721,-0.6744121342328053,-1.4302601544698164,1.7451587042034817,-0.26874445373580486,0.5443893257946784,-2.15420537107401,0.22018411132643148,-1.1705331175450353,-2.81354126125979,-1.399856665549382,0.15069499034028913,-2.0175110745818103
71,-0.6440722281912773,1.8812650146065961,0.3901074558621477,0.3400424989756349,1.2210013492449139,0.1364210090032022,1.5260705607577012,0.7861904571836607,-0.26874445373580486,-0.0754956315460785,-1.4528336377895514,-0.4479183433401091,-0.7433165777389992,-0.6301859629925176,-2.784615797334927,-1.3654900599750384,2.438716785827004
72,-0.6440722281912773,1.6436795614044597,0.3711123132461446,1.296475685883557,1.120645416066494,0.7780877690868252,0.12254260096764638,-0.5996922705153149,-0.6139729063121638,0.08574227809160015,0.1468470933181881,-1.058502545203095,-0.4312209326672841,0.18496475506489754,-0.6265599732946279,-2.720162520961898,2.8596637174639588
73,-0.6440722281912773,1.5226381432593163,0.39025443498042217,1.6831364620138956,1.069598940188916,0.7550608048550808,1.0425398847472402,-0.4809570695623648,0.6604581440950039,0.9431390616631609,0.7777844259885265,-0.8715886246474984,-0.11187788763728579,0.8300483022768987,0.17914524379509816,-0.6089947900583202,0.20637915366496093
74,-0.6440722281912773,1.4025102446082713,0.39002814060797353,1.7790742079653987,1.120645416066494,1.7571161564776767,1.8398641685858363,-0.06402239122425869,-0.6016643817417143,0.5673346538300528,1.4931229577356029,0.054299708705584454,0.08226360973740927,0.8068987226318479,0.816753931285511,0.1792048644603145,-1.2781447922930258
75,-0.6440722281912773,1.6101339574046598,0.48584730955549604,1.9897879801767608,0.96570071160571,0.04786618656416749,1.870584283879406,1.3239942750990121,-0.7036709883182475,0.20863025029174068,1.1708195094246912,0.8891272331645248,0.44751101328326226,1.8142898810007688,0.7938725957480774,0.802960223788038,-2.6045288684627415
76,-0.6440722281912773,1.4776091459625798,0.529583675746934,1.8322675094994574,1.069598940188916,1.2384233803005487,1.8121013726563266,1.1137219348723335,0.9704245297469009,0.32458781518962143,1.3841649220764505,1.4409066359400409,1.0703824402662445,0.09593839039196858,1.7895906807203499,0.7805760311788922,-0.5374467205360487
77,-0.6440722281912773,1.2358463203085055,0.4917123569871694,1.6906764199074225,1.1711084908749452,2.160192510630299,-0.8221983566576226,1.4968858779335004,-0.5126411786949915,-0.11072654163721866,1.562073795198466,2.024686800014591,1.0178787577134931,1.2928351372238327,0.09115046579079404,1.7546601427450965,0.23429368218416993
78,-0.6440722281912773,1.3289742932587798,0.49162965737287506,1.601768314897609,1.1711084908749452,-2.3838646286914305,1.1588807216513257,1.7373394321580387,-0.4238813372492991,-0.23770376659305537,0.48876228828136586,1.1125852667699385,0.06977111141470586,2.219512561228382,1.2741782566983282,0.0931219495786642,0.8450237293832595
79,-0.6440722281912773,1.201179171446016,0.48227924617189827,1.3181332703754196,1.069598940188916,-1.1332268154771965,1.2022351010984949,1.7985355442476212,0.4167848878464516,-0.3713412643742265,-0.5580309791070264,0.5678869863903392,-0.1530050527366412,-2.348741056561745,2.190117871962391,1.250446087862629,0.823106965375923
80,-0.6440722281912773,1.1841297565791753,0.42934746767191473,1.1838948668534148,1.120645416066494,-1.9344056489387127,0.20163302793335042,1.5873941767995068,-0.9419733106825147,0.04650819507465512,-2.365294880726444,-0.4969749328125584,-0.23953762892082422,-1.0914437692274916,-2.3252014319497882,2.146485077058683,1.7768501702020756
81,-0.6440722281912773,0.9563150449496574,0.4146535159056912,1.5931966031681153,1.1711084908749452,0.1186990279202715,1.3218783003589996,1.2060820898405318,-0.5041422091038854,0.06810352172335742,-1.2607193444117695,-0.47654238510868613,0.2929941964556672,-1.8968887696404388,-1.0824729875069328,-2.270729854526602,0.1500083580061644
82,-0.6440722281912773,0.940801488068375,0.3515680694361913,1.5104571538916298,1.1711084908749452,0.9213610906455277,-2.219052042691312,1.7893924147421647,1.3207783129969382,-0.3003663194888634,-0.3538702689385695,-0.5680026489417552,0.5796141373314885,0.16714840687333615,-1.8785849512650743,-1.0550021792008304,1.2831651558260764
83,-0.6440722281912773,1.0323166369402297,0.3454195276499644,0.9215793871813442,1.0179554159722182,1.8193681713269154,1.1271957962900303,1.9056352962434706,-1.7987066445352482,-0.038277124159074874,1.302961404361494,-0.6663173492718875,0.8818915591118489,0.9740845345415853,0.16153534127101424,-1.833817013066352,2.160492983123204
84,-0.6440722281912773,1.53495120764197,0.35561815521980034,1.0874595566686787,1.069598940188916,1.4889642746072622,0.08992916827486047,3.025107233088509,-0.9245756816895845,0.11259575571787639,1.9077657879598318,0.45084468744156625,1.009573474565602,1.8768733792558563,0.9591211539534439,0.16197757240463445,-2.164481292950646
85,-0.6440722281912773,1.7315864746540377,0.3572949155706048,1.394650658656175,0.96570071160571,1.3920140491972997,-0.033397379779319766,1.4668840184826375,-0.6934013441175527,-0.12298615194228471,2.115501460431909,1.179279456446962,1.1239778889196206,1.544710127288737,1.8514489971406736,0.9422342328691357,-0.9741405456852655
86,-0.6440722281912773,2.0287413669118988,0.36267310293779204,1.5298758185054289,0.8592986717928092,0.5446920666991862,-0.8653296669698401,1.9024220932791835,-0.2625916318938619,-0.27242802646085323,1.552887982777967,1.8944037034424155,0.9062120337773727,1.4472436552802581,1.5231346632305276,1.8151744631161584,-1.7366921023703845
87,-0.6440722281912773,1.9070612278658294,0.5015811229569537,1.6391981028754903,0.7502691573500102,-0.6347978783107477,1.0759573919083214,1.4928413913526715,-0.9823267798165389,-0.10416833398323523,0.6155069443909773,1.6770488552317586,0.7835974098057154,0.5954097999168365,1.4267975770341197,1.493993416906457,0.21742613189711887
88,-0.6440722281912773,1.8868182425652258,0.512499846862137,1.8361283916325541,0.8592986717928092,-2.7414700472072395,-0.15601686099624362,1.7935991660161072,1.1046662641084983,-0.0711022434199022,-1.2089203386360305,0.6204630890452629,0.0687609900059511,-0.5903607666132714,0.584834285882823,1.3997494472178698,0.981389406836325
89,-0.6440722281912773,1.8667883364787679,0.5146079929152504,1.7089079392884825,0.6947279094858453,-1.3022645454585167,-0.7873598361303156,1.555185150396851,-0.7599188082668248,-1.0152851478586224,-2.0241256122498053,-0.28000776851960096,-0.5531376740582431,-2.708250674682445,-0.5871962485458491,0.5760794980521815,1.8361008254209297
